estado,potencia_w,tarifa,tarifa_r_kwh,kwh_por_hora,custo_1h,custo_4h_dia_30d,custo_8h_dia_30d,custo_4h_dia_365d
Idle,13.0,Base Enel B1,0.78938,0.013,0.010261939999999999,1.2314327999999999,2.4628655999999998,14.9824324
Idle,13.0,Agosto 2026 + bandeira amarela,0.80823,0.013,0.010506989999999999,1.2608388,2.5216776,15.3402054
Multi-monitor,16.0,Base Enel B1,0.78938,0.016,0.01263008,1.5156096,3.0312192,18.4399168
Multi-monitor,16.0,Agosto 2026 + bandeira amarela,0.80823,0.016,0.012931680000000001,1.5518016,3.1036032,18.8802528
Video playback,17.0,Base Enel B1,0.78938,0.017,0.013419460000000001,1.6103352,3.2206704,19.5924116
Video playback,17.0,Agosto 2026 + bandeira amarela,0.80823,0.017,0.013739910000000001,1.6487892,3.2975784,20.0602686
Gaming,181.0,Base Enel B1,0.78938,0.181,0.14287777999999998,17.145333599999997,34.290667199999994,208.6015588
Gaming,181.0,Agosto 2026 + bandeira amarela,0.80823,0.181,0.14628963,17.5547556,35.1095112,213.5828598
Maximum,179.0,Base Enel B1,0.78938,0.179,0.14129902,16.9558824,33.9117648,206.29656919999996
Maximum,179.0,Agosto 2026 + bandeira amarela,0.80823,0.179,0.14467317,17.3607804,34.7215608,211.22282819999998
